HID,lon,lat,species,sid,family,category,presence,fraction,bio01,bio02,bio03,bio04,bio05,bio06,bio07,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,elevation,annualpet,aridityindexthornthwaite,climaticmoistureindex,embergerq,maxtempcoldest,petseasonality,tri,topowet,nontree,bare,tree,etccdi_cdd,etccdi_cwd,etccdi_fd,etccdi_gsl,etccdi_rx1day,etccdi_rx5day,etccdi_sdii,igbp_01,igbp_02,igbp_03,igbp_04,igbp_05,igbp_06,igbp_07,igbp_08,igbp_09,igbp_10,igbp_11,igbp_12,igbp_13,igbp_14,igbp_15,igbp_16
71353,77.472373,41.205097,Alces alces,56003281,Cervidae,LC,0,0,-8.107681,11.072835,30.612172,934.775406,10.570162,-25.439631,36.009793,262.043731,50.230336,3.71585,79.840388,140.227411,13.179521,138.674098,13.375873,4063.730634,493.881732,51.693676,-0.47152,23.055533,-176.473991,3907.225073,147.986071,7.954697,33.378326,65.151049,1.470625,119.070806,6.096001,175.275016,186.505719,13.917719,29.657137,3.436044,0,0,0,0,0,0,0,0,0,0.361107,0,0,0,0,0.116946,0.521782
71514,77.579428,39.386975,Alces alces,56003281,Cervidae,LC,0,0,12.525068,16.111215,33.023055,1180.186243,35.269288,-13.493026,48.762314,52.845674,9.540011,0.997948,59.430637,24.521509,3.146919,24.481058,4.183429,1156.751925,1209.552995,95.20692,-0.952391,4.529657,3.752681,6547.713012,0.863277,15.148031,23.43464,75.641661,0.923699,187.177725,4.760973,174.016707,188.78465,11.310044,23.877824,3.219081,0,0,0,0,0,0,0,0,0,0.152826,0,0.158793,0.003066,0,0,0.685314
71434,77.657921,40.741367,Alces alces,56003281,Cervidae,LC,0,0,0.929456,11.818913,34.070404,852.823188,18.323716,-16.38085,34.704565,157.888765,30.447398,1.827303,83.107544,86.972228,6.339252,86.952209,7.204396,3056.085722,712.668029,73.361535,-0.727826,16.128651,-110.987317,4825.968301,111.021119,8.2581,35.275037,63.180749,1.544214,177.081449,5.319391,175.634842,186.895555,11.966567,25.824592,3.23554,0,0,0,0,0,0,0,0,0,0.521948,0,0.003975,0,0,0.00762,0.466457
71675,77.899446,38.454809,Alces alces,56003281,Cervidae,LC,0,0,13.043265,17.557958,33.885131,1235.402212,37.423818,-14.39477,51.818589,33.299235,6.944507,0.003107,60.612983,16.819311,2.003107,16.819312,3.016312,1204.284199,1240.908614,96.446803,-0.963128,3.457491,8.011903,6611.603253,1.322328,13.911149,7.131907,92.813147,0.054946,187.924244,5.892807,193.86944,168.311954,11.684523,25.571735,3.44298,0,0,0,0,0,0,0,0,0,0.027325,0,0.007949,0,0,0,0.964726
71916,77.983067,36.161648,Alces alces,56003281,Cervidae,LC,0,0,-7.664294,12.572192,33.683951,914.612836,11.712797,-25.517044,37.229841,64.423365,21.401082,0.0639,112.790049,48.032836,1.349228,47.632659,2.155054,4974.237627,525.086412,89.837203,-0.889615,4.872298,-162.01243,4051.883135,134.622168,8.168583,25.198157,73.950797,0.851046,97.297671,12.803375,248.8473,105.727864,19.768982,50.629171,4.647629,0,0,0,0,0,0,0,0,0,0.00058,0,0,0,0,0.026913,0.972507
71516,78.089409,41.163848,Alces alces,56003281,Cervidae,LC,0,0,-3.942619,11.702961,33.820387,865.366577,14.044944,-20.515341,34.560286,205.368991,40.85827,2.543125,85.300838,116.020323,9.029281,116.015076,10.020751,3659.749275,577.063505,59.690549,-0.575335,20.961941,-145.954016,4248.06764,182.780583,7.467974,31.62822,66.160896,2.210884,160.174147,5.546782,173.098381,190.286524,12.710884,26.848549,3.236454,0,0,0,0,0,0,0,0,0,0.208551,0,0,0,0,0.013589,0.777861
71676,78.175967,39.345775,Alces alces,56003281,Cervidae,LC,0,0,12.30519,15.835852,32.693078,1184.662422,34.693023,-13.72202,48.415044,45.186436,8.478167,0.455167,62.861898,22.532482,2.449543,22.453953,3.581756,1141.328259,1223.260102,95.95199,-0.959428,3.828325,5.049709,6604.44237,1.129108,14.976709,34.658071,63.726735,1.615194,216.009081,4.321829,169.715833,194.3978,10.564086,21.909123,3.119816,0,0,0,0,0,0,0.000911,0,0,0.299917,0,0.21457,0.001821,0,0,0.482781
71836,78.187153,37.521079,Alces alces,56003281,Cervidae,LC,0,0,11.989993,17.310031,35.240521,1143.220924,34.94684,-14.173076,49.119916,25.77374,5.145931,0,56.929859,13.242391,1.646991,13.179605,3.042563,1579.173374,1202.775944,96.342851,-0.961874,3.531624,0.874355,6386.221581,12.647532,11.601074,21.998322,77.68099,0.320688,135.921028,6.904752,201.708544,160.033014,15.257385,34.019703,4.020037,0,0,0,0,0,0,0.000497,0,0,0.115088,0,0.034634,0.001906,0,0,0.847875
71996,78.236263,34.76827,Alces alces,56003281,Cervidae,LC,0,0,-10.822305,10.922544,28.371444,1006.484809,9.449188,-28.898965,38.348153,95.386054,28.297314,0.93548,106.216821,65.411886,4.444607,64.616666,6.302596,5344.06519,494.254154,85.527181,-0.836481,7.021971,-153.896022,3794.419193,215.963932,7.357613,24.542264,73.912946,1.54479,54.460173,18.046921,273.721618,73.170367,25.22972,67.53519,5.202832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.202004,0.797996
71917,78.317675,37.054001,Alces alces,56003281,Cervidae,LC,0,0,6.28067,14.454175,35.56446,964.107468,25.372138,-15.286475,40.658613,27.623212,7.600271,0,78.346934,18.211933,0.709409,18.205335,1.644345,2757.134745,967.824528,96.135493,-0.962835,3.001176,-54.984612,5605.117905,128.503535,8.490505,32.896434,65.320597,1.782969,136.958563,7.661345,208.969482,151.295996,15.254913,35.032901,4.004324,0,0,0,0,0,0,0.000745,0,0.000414,0.275905,0,0.010271,0,0,0,0.712665
