HID,lon,lat,species,sid,family,category,presence,fraction,bio02,bio15,bio19,elevation,aridityindexthornthwaite,maxtempcoldest,tri,topowet,nontree,etccdi_cwd,landcover_igbp
84588,117.519536,44.107709,Ovis ammon,15733,Bovidae,NT,0,0,13.260461,110.595133,9.654091,1249.083266,52.287008,-130.489381,29.649764,10.870103,48.935146,6.752493,10
84589,117.160404,44.964295,Ovis ammon,15733,Bovidae,NT,0,0,13.688561,111.247546,7.193142,992.218724,63.798179,-145.305593,11.589129,12.32473,44.953391,6.520951,10
84590,116.791838,45.818158,Ovis ammon,15733,Bovidae,NT,0,0,13.834941,106.136574,7.633419,1003.578152,67.34612,-160.660597,16.172717,11.995515,49.545609,6.400489,10
84651,120.926576,28.576459,Ovis ammon,15733,Bovidae,NT,0,0,6.902043,48.623499,174.744273,406.992486,0.207933,88.05515,101.485662,8.562467,40.450447,14.138595,8
84652,120.939766,29.478968,Ovis ammon,15733,Bovidae,NT,0,0,8.220089,46.475969,165.217121,293.082826,4.174315,79.936289,60.264742,9.765834,46.474592,13.17521,8
84654,120.987272,31.293718,Ovis ammon,15733,Bovidae,NT,0,0,7.520997,52.462941,141.66287,3.102854,18.528,69.9955,0.665622,14.663637,55.518618,11.60066,13
84655,121.026829,32.20662,Ovis ammon,15733,Bovidae,NT,0,0,7.737126,55.40062,107.792687,3.794139,12.315185,52.268672,0.344005,14.651297,64.352141,10.902362,12
84660,120.747321,36.752528,Ovis ammon,15733,Bovidae,NT,0,0,9.649743,100.281083,30.004453,48.293508,44.999073,7.728097,10.398488,12.407518,65.572431,7.108814,12
84661,120.387567,37.630391,Ovis ammon,15733,Bovidae,NT,0,0,9.263021,102.807913,27.157828,47.337091,55.498111,7.430789,21.247702,11.247376,62.155418,6.886275,12
84664,119.366068,40.253768,Ovis ammon,15733,Bovidae,NT,0,0,11.35891,125.129324,8.58171,374.342494,57.057162,-22.325913,54.748605,9.659182,53.96945,7.533958,12
84665,119.032651,41.123572,Ovis ammon,15733,Bovidae,NT,0,0,12.436199,120.273749,7.597935,678.957107,60.44248,-42.428236,48.261352,9.885127,55.198434,7.933001,12
84666,118.698162,41.990758,Ovis ammon,15733,Bovidae,NT,0,0,12.053189,114.583555,6.605903,942.933761,50.77962,-62.071654,53.00636,9.889349,50.884871,7.805138,10
